tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA94-19b	200	460	30	1.00	-1.00	-	58.4	6.000e+00	7.989e-01	3.000e+00	2.321e-02	3.607e-01	8.198e-02	2.161e+00	2.487e+00	t
NA94-19b	200	490	30	1.00	-1.00	-	58.1	7.000e+00	8.735e-01	3.000e+00	1.659e-02	3.299e-01	6.706e-02	2.009e+00	1.731e+00	t
NA94-19b	200	510	30	1.00	-1.00	-	58.5	8.000e+00	8.850e-01	4.000e+00	1.440e-02	3.256e-01	4.592e-02	1.902e+00	1.367e+00	t
NA94-19b	300	490	30	1.00	-1.00	-	57.4	6.000e+00	7.976e-01	3.000e+00	1.684e-02	3.613e-01	-2.643e-08	2.148e+00	1.754e+00	t
NA94-19b	300	510	30	1.00	-1.00	-	57.9	7.000e+00	8.092e-01	4.000e+00	1.554e-02	3.561e-01	-7.389e-08	2.020e+00	1.396e+00	t
NA94-19c	0	430	30	1.00	-1.00	-	67.8	7.000e+00	8.738e-01	2.000e+00	1.772e-02	3.187e-01	4.947e-02	2.317e+00	4.750e+00	t
NA94-19c	0	460	30	1.00	-1.00	-	66.7	8.000e+00	9.506e-01	3.000e+00	1.791e-02	2.929e-01	8.762e-02	2.592e+00	3.942e+00	t
NA94-19c	0	490	30	1.00	-1.00	-	66.6	9.000e+00	9.785e-01	3.000e+00	1.505e-02	2.845e-01	7.429e-02	2.740e+00	3.343e+00	t
NA94-19c	0	510	30	1.00	-1.00	-	66.7	1.000e+01	9.862e-01	4.000e+00	1.319e-02	2.823e-01	6.492e-02	2.811e+00	2.893e+00	t
NA94-19c	100	430	30	1.00	-1.00	-	68.7	6.000e+00	8.458e-01	2.000e+00	1.854e-02	3.292e-01	9.935e-02	2.275e+00	5.078e+00	t
NA94-19c	100	460	30	1.00	-1.00	-	67.3	7.000e+00	9.226e-01	3.000e+00	2.089e-02	3.018e-01	1.285e-01	2.631e+00	4.258e+00	t
NA94-19c	100	490	30	1.00	-1.00	-	67.1	8.000e+00	9.506e-01	3.000e+00	1.742e-02	2.929e-01	1.094e-01	2.822e+00	3.649e+00	t
NA94-19c	100	510	30	1.00	-1.00	-	67.2	9.000e+00	9.582e-01	4.000e+00	1.514e-02	2.906e-01	9.755e-02	2.927e+00	3.170e+00	t
NA94-19c	200	430	30	1.00	-1.00	-	68.5	5.000e+00	7.804e-01	2.000e+00	2.656e-02	3.568e-01	1.364e-01	2.771e+00	6.186e+00	t
NA94-19c	200	460	30	1.00	-1.00	-	66.9	6.000e+00	8.571e-01	3.000e+00	2.839e-02	3.249e-01	1.578e-01	3.232e+00	5.167e+00	t
NA94-19c	200	490	30	1.00	-1.00	-	66.7	7.000e+00	8.851e-01	3.000e+00	2.316e-02	3.146e-01	1.319e-01	3.455e+00	4.439e+00	t
NA94-19c	200	510	30	1.00	-1.00	-	66.8	8.000e+00	8.927e-01	4.000e+00	1.991e-02	3.119e-01	1.170e-01	3.583e+00	3.857e+00	t
NA94-19d	0	400	30	1.00	-1.00	-	54.3	6.000e+00	8.262e-01	2.000e+00	1.127e-02	3.828e-01	6.984e-02	1.956e+00	4.835e+00	t
NA94-19d	0	430	30	1.00	-1.00	-	53.7	7.000e+00	9.086e-01	2.000e+00	1.100e-02	3.481e-01	7.991e-02	2.193e+00	4.123e+00	t
NA94-19d	0	460	30	1.00	-1.00	-	53.5	8.000e+00	9.612e-01	3.000e+00	9.481e-03	3.290e-01	7.374e-02	2.357e+00	3.552e+00	t
NA94-19d	0	490	30	1.00	-1.00	-	53.7	9.000e+00	9.820e-01	3.000e+00	8.747e-03	3.220e-01	5.051e-02	2.510e+00	3.019e+00	t
NA94-19d	0	510	30	1.00	-1.00	-	53.9	1.000e+01	9.892e-01	4.000e+00	8.684e-03	3.197e-01	3.405e-02	2.528e+00	2.722e+00	t
NA94-19d	100	400	30	1.00	-1.00	-	54.3	5.000e+00	7.993e-01	2.000e+00	1.455e-02	3.957e-01	8.008e-02	1.189e+00	5.310e+00	t
NA94-19d	100	430	30	1.00	-1.00	-	53.7	6.000e+00	8.817e-01	2.000e+00	1.381e-02	3.587e-01	8.802e-02	1.911e+00	4.573e+00	t
NA94-19d	100	460	30	1.00	-1.00	-	53.4	7.000e+00	9.343e-01	3.000e+00	1.169e-02	3.385e-01	7.997e-02	2.258e+00	3.972e+00	t
NA94-19d	100	490	30	1.00	-1.00	-	53.7	8.000e+00	9.551e-01	3.000e+00	1.072e-02	3.311e-01	5.490e-02	2.510e+00	3.399e+00	t
NA94-19d	100	510	30	1.00	-1.00	-	53.9	9.000e+00	9.623e-01	4.000e+00	1.060e-02	3.286e-01	3.734e-02	2.571e+00	3.086e+00	t
NA94-19d	200	430	30	1.00	-1.00	-	53.0	5.000e+00	8.296e-01	2.000e+00	1.508e-02	3.812e-01	7.635e-02	2.156e+00	5.291e+00	t
NA94-19d	200	460	30	1.00	-1.00	-	52.8	6.000e+00	8.823e-01	3.000e+00	1.234e-02	3.585e-01	6.825e-02	2.589e+00	4.623e+00	t
NA94-19d	200	490	30	1.00	-1.00	-	53.1	7.000e+00	9.030e-01	3.000e+00	1.221e-02	3.502e-01	4.136e-02	2.897e+00	3.962e+00	t
NA94-19d	200	510	30	1.00	-1.00	-	53.4	8.000e+00	9.102e-01	4.000e+00	1.281e-02	3.474e-01	2.256e-02	2.972e+00	3.616e+00	t
NA94-19e	0	460	30	1.00	-1.00	-	50.5	8.000e+00	8.998e-01	3.000e+00	1.439e-02	2.596e-01	8.454e-02	3.133e+00	4.676e+00	t
NA94-19e	0	490	30	1.00	-1.00	-	50.7	9.000e+00	9.734e-01	3.000e+00	1.194e-02	2.399e-01	4.170e-02	3.181e+00	3.729e+00	t
NA94-19e	0	510	30	1.00	-1.00	-	51.2	1.000e+01	9.876e-01	4.000e+00	1.185e-02	2.365e-01	1.478e-02	3.199e+00	3.070e+00	t
NA94-19e	100	460	30	1.00	-1.00	-	50.5	7.000e+00	8.593e-01	3.000e+00	1.730e-02	2.718e-01	9.820e-02	3.066e+00	4.843e+00	t
NA94-19e	100	490	30	1.00	-1.00	-	50.8	8.000e+00	9.330e-01	3.000e+00	1.414e-02	2.503e-01	5.010e-02	3.164e+00	3.887e+00	t
NA94-19e	100	510	30	1.00	-1.00	-	51.2	9.000e+00	9.471e-01	4.000e+00	1.389e-02	2.466e-01	2.099e-02	3.214e+00	3.215e+00	t
NA94-19e	200	460	30	1.00	-1.00	-	50.0	6.000e+00	8.175e-01	3.000e+00	2.024e-02	2.857e-01	9.500e-02	2.941e+00	5.245e+00	t
NA94-19e	200	490	30	1.00	-1.00	-	50.4	7.000e+00	8.912e-01	3.000e+00	1.671e-02	2.621e-01	4.170e-02	3.158e+00	4.219e+00	t
NA94-19e	200	510	30	1.00	-1.00	-	51.0	8.000e+00	9.053e-01	4.000e+00	1.680e-02	2.580e-01	1.036e-02	3.271e+00	3.492e+00	t
NA94-19e	300	510	30	1.00	-1.00	-	51.0	7.000e+00	7.911e-01	4.000e+00	2.338e-02	2.952e-01	1.855e-02	3.296e+00	3.831e+00	t
NA94-19f	300	510	30	1.00	-1.00	-	38.3	7.000e+00	7.951e-01	4.000e+00	3.731e-02	3.631e-01	1.446e-01	2.240e+00	1.682e+00	t
NA94-3a	0	300	30	1.00	-1.00	-	70.1	4.000e+00	8.574e-01	1.000e+00	2.065e-02	5.617e-01	-8.490e-02	1.074e+00	5.193e-01	t
NA94-3a	0	350	30	1.00	-1.00	-	70.4	5.000e+00	9.583e-01	1.000e+00	1.354e-02	5.025e-01	-7.336e-02	8.597e-01	4.029e-01	t
NA94-3a	0	400	30	1.00	-1.00	-	70.9	6.000e+00	9.765e-01	2.000e+00	1.201e-02	4.932e-01	-7.971e-02	7.755e-01	3.113e-01	t
NA94-3a	0	430	30	1.00	-1.00	-	70.9	7.000e+00	9.846e-01	2.000e+00	9.962e-03	4.891e-01	-7.247e-02	7.208e-01	3.657e-01	t
NA94-3a	100	300	30	1.00	-1.00	-	70.4	3.000e+00	8.355e-01	1.000e+00	3.270e-02	5.764e-01	0.000e+00	7.092e-01	4.874e-01	t
NA94-3a	100	350	30	1.00	-1.00	-	70.8	4.000e+00	9.364e-01	1.000e+00	1.877e-02	5.143e-01	-7.473e-02	6.262e-01	3.462e-01	t
NA94-3a	100	400	30	1.00	-1.00	-	71.3	5.000e+00	9.546e-01	2.000e+00	1.595e-02	5.045e-01	-8.133e-02	5.779e-01	2.751e-01	t
NA94-3a	100	430	30	1.00	-1.00	-	71.2	6.000e+00	9.627e-01	2.000e+00	1.299e-02	5.002e-01	-7.345e-02	5.458e-01	3.832e-01	t
NA94-3b	0	350	30	1.00	-1.00	-	73.6	5.000e+00	9.643e-01	1.000e+00	3.167e-02	4.914e-01	1.624e-01	5.079e-01	5.935e-01	t
NA94-3b	0	400	30	1.00	-1.00	-	73.7	6.000e+00	9.832e-01	2.000e+00	2.429e-02	4.820e-01	1.383e-01	5.117e-01	4.608e-01	t
NA94-3b	0	430	30	1.00	-1.00	-	73.7	7.000e+00	9.890e-01	2.000e+00	2.013e-02	4.791e-01	1.295e-01	5.336e-01	3.235e-01	t
NA94-3b	0	460	30	1.00	-1.00	-	73.6	8.000e+00	9.923e-01	3.000e+00	1.752e-02	4.775e-01	1.270e-01	5.134e-01	3.092e-01	t
NA94-3b	100	300	30	1.00	-1.00	-	72.7	3.000e+00	8.414e-01	1.000e+00	7.787e-02	5.632e-01	0.000e+00	4.116e-01	6.228e-01	t
NA94-3b	100	350	30	1.00	-1.00	-	72.7	4.000e+00	9.427e-01	1.000e+00	4.334e-02	5.026e-01	1.628e-01	3.466e-01	6.572e-01	t
NA94-3b	100	400	30	1.00	-1.00	-	72.9	5.000e+00	9.616e-01	2.000e+00	3.199e-02	4.928e-01	1.366e-01	4.113e-01	5.196e-01	t
NA94-3b	100	430	30	1.00	-1.00	-	73.0	6.000e+00	9.675e-01	2.000e+00	2.599e-02	4.898e-01	1.270e-01	4.746e-01	3.539e-01	t
NA94-3b	100	460	30	1.00	-1.00	-	72.9	7.000e+00	9.707e-01	3.000e+00	2.233e-02	4.881e-01	1.244e-01	4.614e-01	3.505e-01	t
NA94-3d	0	300	30	1.00	-1.00	-	73.4	4.000e+00	8.524e-01	1.000e+00	3.247e-02	5.481e-01	1.330e-01	1.299e+00	4.788e-01	t
NA94-3d	0	350	30	1.00	-1.00	-	73.5	5.000e+00	9.539e-01	1.000e+00	2.045e-02	4.898e-01	9.455e-02	1.018e+00	3.752e-01	t
NA94-3d	0	400	30	1.00	-1.00	-	73.6	6.000e+00	9.771e-01	2.000e+00	1.568e-02	4.782e-01	7.757e-02	9.423e-01	1.552e-01	t
NA94-3d	0	430	30	1.00	-1.00	-	73.8	7.000e+00	9.839e-01	2.000e+00	1.327e-02	4.749e-01	6.619e-02	8.786e-01	9.476e-02	t
NA94-3d	0	460	30	1.00	-1.00	-	73.7	8.000e+00	9.884e-01	3.000e+00	1.175e-02	4.727e-01	6.860e-02	8.389e-01	8.278e-02	t
NA94-3d	100	300	30	1.00	-1.00	-	73.0	3.000e+00	8.250e-01	1.000e+00	5.243e-02	5.663e-01	0.000e+00	2.957e-01	2.217e-01	t
NA94-3d	100	350	30	1.00	-1.00	-	73.2	4.000e+00	9.265e-01	1.000e+00	2.928e-02	5.043e-01	1.019e-01	2.379e-01	2.848e-01	t
NA94-3d	100	400	30	1.00	-1.00	-	73.4	5.000e+00	9.497e-01	2.000e+00	2.155e-02	4.920e-01	8.303e-02	3.442e-01	1.680e-01	t
NA94-3d	100	430	30	1.00	-1.00	-	73.6	6.000e+00	9.565e-01	2.000e+00	1.793e-02	4.885e-01	7.054e-02	3.432e-01	1.144e-01	t
NA94-3d	100	460	30	1.00	-1.00	-	73.4	7.000e+00	9.610e-01	3.000e+00	1.567e-02	4.862e-01	7.297e-02	3.352e-01	1.896e-01	t
NA94-3e	0	350	30	1.00	-1.00	-	72.5	5.000e+00	9.628e-01	1.000e+00	3.323e-02	4.810e-01	1.500e-01	1.394e+00	6.184e-01	t
NA94-3e	0	400	30	1.00	-1.00	-	72.6	6.000e+00	9.820e-01	2.000e+00	2.546e-02	4.716e-01	1.277e-01	1.281e+00	3.771e-01	t
NA94-3e	0	430	30	1.00	-1.00	-	72.5	7.000e+00	9.865e-01	2.000e+00	2.127e-02	4.694e-01	1.254e-01	1.190e+00	3.872e-01	t
NA94-3e	0	460	30	1.00	-1.00	-	72.3	8.000e+00	9.905e-01	3.000e+00	1.864e-02	4.675e-01	1.255e-01	1.143e+00	3.341e-01	t
NA94-3e	100	300	30	1.00	-1.00	-	71.7	3.000e+00	8.332e-01	1.000e+00	8.541e-02	5.558e-01	0.000e+00	4.023e-01	6.186e-01	t
NA94-3e	100	400	30	1.00	-1.00	-	72.3	5.000e+00	9.507e-01	2.000e+00	3.541e-02	4.872e-01	1.439e-01	4.998e-01	1.821e-01	t
NA94-3e	100	430	30	1.00	-1.00	-	72.1	6.000e+00	9.552e-01	2.000e+00	2.895e-02	4.848e-01	1.407e-01	4.698e-01	2.382e-01	t
NA94-3e	100	460	30	1.00	-1.00	-	72.0	7.000e+00	9.592e-01	3.000e+00	2.506e-02	4.828e-01	1.404e-01	4.722e-01	2.028e-01	t
NA94-3f	0	300	30	1.00	-1.00	-	70.3	4.000e+00	8.546e-01	1.000e+00	2.064e-02	5.214e-01	-8.554e-02	4.495e-01	5.490e-01	t
NA94-3f	0	350	30	1.00	-1.00	-	70.8	5.000e+00	9.360e-01	1.000e+00	1.417e-02	4.761e-01	-7.950e-02	5.447e-01	1.752e-01	t
NA94-3f	0	400	30	1.00	-1.00	-	71.0	6.000e+00	9.589e-01	2.000e+00	1.114e-02	4.647e-01	-7.578e-02	4.947e-01	2.791e-01	t
NA94-3f	0	430	30	1.00	-1.00	-	71.0	7.000e+00	9.732e-01	3.000e+00	9.267e-03	4.579e-01	-7.134e-02	4.986e-01	1.884e-01	t
NA94-3f	0	490	30	1.00	-1.00	-	70.7	8.000e+00	9.822e-01	3.000e+00	9.560e-03	4.537e-01	-5.324e-02	5.050e-01	2.788e-01	t
NA94-3f	100	300	30	1.00	-1.00	-	70.8	3.000e+00	8.283e-01	1.000e+00	3.223e-02	5.380e-01	0.000e+00	2.212e-01	5.172e-01	t
NA94-3f	100	350	30	1.00	-1.00	-	71.3	4.000e+00	9.097e-01	1.000e+00	1.934e-02	4.899e-01	-7.890e-02	4.719e-01	1.322e-01	t
