tab	pmag_specimens
er_specimen_name	measurement_step_min	measurement_step_max	specimen_lab_field_dc_uT	specimen_int_corr_anisotropy	specimen_int_corr_nlt	specimen_int_corr_cooling_rate	specimen_int_uT	specimen_int_n	specimen_frac	specimen_int_ptrm_n	specimen_b_beta	specimen_gmax	specimen_k_prime	specimen_int_mad	specimen_int_dang	specimen_scat
NA94-19d	100	490	30	1.00	-1.00	-	53.7	8.000e+00	9.551e-01	3.000e+00	1.072e-02	3.311e-01	5.490e-02	2.510e+00	3.399e+00	t
NA94-19d	100	510	30	1.00	-1.00	-	53.9	9.000e+00	9.623e-01	4.000e+00	1.060e-02	3.286e-01	3.734e-02	2.571e+00	3.086e+00	t
NA94-19d	200	430	30	1.00	-1.00	-	53.0	5.000e+00	8.296e-01	2.000e+00	1.508e-02	3.812e-01	7.635e-02	2.156e+00	5.291e+00	t
NA94-19d	200	460	30	1.00	-1.00	-	52.8	6.000e+00	8.823e-01	3.000e+00	1.234e-02	3.585e-01	6.825e-02	2.589e+00	4.623e+00	t
NA94-19d	200	490	30	1.00	-1.00	-	53.1	7.000e+00	9.030e-01	3.000e+00	1.221e-02	3.502e-01	4.136e-02	2.897e+00	3.962e+00	t
NA94-19d	200	510	30	1.00	-1.00	-	53.4	8.000e+00	9.102e-01	4.000e+00	1.281e-02	3.474e-01	2.256e-02	2.972e+00	3.616e+00	t
NA94-19e	0	460	30	1.00	-1.00	-	50.5	8.000e+00	8.998e-01	3.000e+00	1.439e-02	2.596e-01	8.454e-02	3.133e+00	4.676e+00	t
NA94-19e	0	490	30	1.00	-1.00	-	50.7	9.000e+00	9.734e-01	3.000e+00	1.194e-02	2.399e-01	4.170e-02	3.181e+00	3.729e+00	t
NA94-19e	0	510	30	1.00	-1.00	-	51.2	1.000e+01	9.876e-01	4.000e+00	1.185e-02	2.365e-01	1.478e-02	3.199e+00	3.070e+00	t
NA94-19e	100	460	30	1.00	-1.00	-	50.5	7.000e+00	8.593e-01	3.000e+00	1.730e-02	2.718e-01	9.820e-02	3.066e+00	4.843e+00	t
NA94-19e	100	490	30	1.00	-1.00	-	50.8	8.000e+00	9.330e-01	3.000e+00	1.414e-02	2.503e-01	5.010e-02	3.164e+00	3.887e+00	t
NA94-19e	100	510	30	1.00	-1.00	-	51.2	9.000e+00	9.471e-01	4.000e+00	1.389e-02	2.466e-01	2.099e-02	3.214e+00	3.215e+00	t
NA94-19e	200	460	30	1.00	-1.00	-	50.0	6.000e+00	8.175e-01	3.000e+00	2.024e-02	2.857e-01	9.500e-02	2.941e+00	5.245e+00	t
NA94-19e	200	490	30	1.00	-1.00	-	50.4	7.000e+00	8.912e-01	3.000e+00	1.671e-02	2.621e-01	4.170e-02	3.158e+00	4.219e+00	t
